record_id,screenshot_file,index_type,index_name_cn,route_or_dimension,data_date,displayed_value,value_unit,value_extraction_method,source_platform,source_url_hint,evidence_file,visual_review_file,data_quality_level,record_status,confidence_note,usable_for_real_master,sync_target,natural_week_start,natural_week_end,created_or_updated_note,query_date
chart-ccfi-2026-05-22-composite,sse-ccfi-chart-2026-05-22-tooltip.png,CCFI,中国出口集装箱运价指数,综合指数,2026-05-22,1317.36,index_point,tooltip_reading_from_screenshot,上海航运交易所网页图表截图,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query,canglu-radar/01-raw-data/collection-drafts/chart-evidence/sse-http-probes/ccfi_chart_query.png,canglu-radar/01-raw-data/collection-drafts/chart-evidence/chart-visual-review.md,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no,chart_reference_layer_only,2026-05-18,2026-05-24,由用户提供图表示例截图识别后落入C级图表参考层。,
chart-scfis-2026-05-25-europe,sse-scfis-chart-2026-05-25-tooltip.png,SCFIS,上海出口集装箱结算运价指数,欧洲航线,2026-05-25,1863.74,index_point,tooltip_reading_from_screenshot,上海航运交易所网页图表截图,https://www.sse.net.cn/index/indexImg?name=scfis&type=euquery,canglu-radar/01-raw-data/collection-drafts/chart-evidence/sse-http-probes/scfis_chart_euquery.png,canglu-radar/01-raw-data/collection-drafts/chart-evidence/chart-visual-review.md,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no,chart_reference_layer_only,2026-05-25,2026-05-31,由用户提供图表示例截图识别后落入C级图表参考层。,
chart-scfis-2026-05-25-us-west,sse-scfis-chart-2026-05-25-tooltip.png,SCFIS,上海出口集装箱结算运价指数,美西航线,2026-05-25,1960.27,index_point,tooltip_reading_from_screenshot,上海航运交易所网页图表截图,https://www.sse.net.cn/index/indexImg?name=scfis&type=uswcquery,canglu-radar/01-raw-data/collection-drafts/chart-evidence/sse-http-probes/scfis_chart_uswcquery.png,canglu-radar/01-raw-data/collection-drafts/chart-evidence/chart-visual-review.md,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no,chart_reference_layer_only,2026-05-25,2026-05-31,由用户提供图表示例截图识别后落入C级图表参考层。,
chart-ccfi-2025-12-26-综合指数,ccfi_query_date_2026-01-02.png,CCFI,中国出口集装箱运价指数,综合指数,2025-12-26,1146.67,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-01-02,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-01-02.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2025-12-22,2025-12-28,26周批量图表接口复现并视觉抽取。,2026-01-02
chart-ccfi-2026-01-09-综合指数,ccfi_query_date_2026-01-09.png,CCFI,中国出口集装箱运价指数,综合指数,2026-01-09,1194.89,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-01-09,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-01-09.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-01-05,2026-01-11,26周批量图表接口复现并视觉抽取。,2026-01-09
chart-ccfi-2026-01-16-综合指数,ccfi_query_date_2026-01-16.png,CCFI,中国出口集装箱运价指数,综合指数,2026-01-16,1209.85,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-01-16,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-01-16.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-01-12,2026-01-18,26周批量图表接口复现并视觉抽取。,2026-01-16
chart-ccfi-2026-01-23-综合指数,ccfi_query_date_2026-01-23.png,CCFI,中国出口集装箱运价指数,综合指数,2026-01-23,1208.75,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-01-23,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-01-23.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-01-19,2026-01-25,26周批量图表接口复现并视觉抽取。,2026-01-23
chart-ccfi-2026-01-30-综合指数,ccfi_query_date_2026-01-30.png,CCFI,中国出口集装箱运价指数,综合指数,2026-01-30,1175.59,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-01-30,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-01-30.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-01-26,2026-02-01,26周批量图表接口复现并视觉抽取。,2026-01-30
chart-ccfi-2026-02-06-综合指数,ccfi_query_date_2026-02-06.png,CCFI,中国出口集装箱运价指数,综合指数,2026-02-06,1122.15,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-02-06,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-02-06.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-02-02,2026-02-08,26周批量图表接口复现并视觉抽取。,2026-02-06
chart-ccfi-2026-02-13-综合指数,ccfi_query_date_2026-02-27.png,CCFI,中国出口集装箱运价指数,综合指数,2026-02-13,1088.14,index_point,tooltip_reading_from_sse_indexImg_png,上海航运交易所 indexImg 图表接口,https://www.sse.net.cn/index/indexImg?name=ccfi&type=query&date=2026-02-27,D:\小袁工作\canglu-radar\01-raw-data\collection-drafts\chart-evidence\sse-http-probes\ccfi_query_date_2026-02-27.png,canglu-radar\01-raw-data\collection-drafts\chart-evidence\drafts\ccfi-26week-chart-extract.csv,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no,chart_reference_layer_only,2026-02-09,2026-02-15,26周批量图表接口复现并视觉抽取。,2026-02-27
