category,directory,file_count,total_kb
analysis_or_report,03-analysis,1,9.5
analysis_or_report,04-decision-report,8,152.3
draft_evidence,01-raw-data/collection-drafts/batch-01,21,629.9
draft_evidence,01-raw-data/collection-drafts/batch-03,4,14.3
draft_evidence,01-raw-data/collection-drafts/batch-04,3,10.5
draft_evidence,01-raw-data/collection-drafts/manual-weekly,140,4364.2
final_or_current_raw,01-raw-data,2,3.3
final_or_current_raw,01-raw-data/carrier-announcements,10,15.2
final_or_current_raw,01-raw-data/carrier-announcements/drafts,2,27.0
final_or_current_raw,01-raw-data/exchange-rate,4,5.8
final_or_current_raw,01-raw-data/exchange-rate/drafts,2,14.4
final_or_current_raw,01-raw-data/freight-index,5,16.599999999999998
final_or_current_raw,01-raw-data/freight-index/drafts,2,29.7
final_or_current_raw,01-raw-data/internal-simulated,1,5.6
final_or_current_raw,01-raw-data/internal-simulated/drafts,1,15.4
final_or_current_raw,01-raw-data/oil-price,1,0.7
final_or_current_raw,01-raw-data/oil-price/drafts,1,7.1
final_or_current_raw,01-raw-data/route-dictionary,2,5.8999999999999995
final_or_current_raw,01-raw-data/surcharge-rules,2,12.3
log,09-logs,3,7.6000000000000005
processed_or_governance,02-governance,5,74.1
processed_or_governance,02-processed-data,2,13.6
report_or_diagnostic,01-raw-data/collection-reports,90,1636.3000000000002
report_or_diagnostic,01-raw-data/collection-reports/diagnostics,1,1.5
report_or_diagnostic,01-raw-data/collection-reports/drafts,4,50.5
