date,usd_cny_rate,selected_time_col,readable_status,ocr_review_file,header_visible_in_slice,source_image,source_platform,source_method,data_quality_level,record_status,date_dt,header_rank,week_id,natural_week_start,natural_week_end
2026-01-12,6.9731,20:00_or_rightmost_visible, 2026-01-12 | 6.9731 | partially clipped at bottom but value appears readable; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-12,0,2026-W03,2026-01-12,2026-01-18
2026-01-13,6.9756,20:00_or_rightmost_visible, 2026-01-13 | 6.9756 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-13,0,2026-W03,2026-01-12,2026-01-18
2026-01-14,6.9732,20:00_or_rightmost_visible, 2026-01-14 | 6.9732 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-14,0,2026-W03,2026-01-12,2026-01-18
2026-01-15,6.9672,20:00_or_rightmost_visible, 2026-01-15 | 6.9672 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-15,0,2026-W03,2026-01-12,2026-01-18
2026-01-16,6.9694,20:00_or_rightmost_visible, 2026-01-16 | 6.9694 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-16,0,2026-W03,2026-01-12,2026-01-18
2026-01-19,6.9634,20:00_or_rightmost_visible, 2026-01-19 | 6.9634 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-19,0,2026-W04,2026-01-19,2026-01-25
2026-01-20,6.9589,20:00_or_rightmost_visible, 2026-01-20 | 6.9589 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-20,0,2026-W04,2026-01-19,2026-01-25
2026-01-21,6.9637,20:00_or_rightmost_visible, 2026-01-21 | 6.9637 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-21,0,2026-W04,2026-01-19,2026-01-25
2026-01-22,6.9774,20:00_or_rightmost_visible, 2026-01-22 | 6.9774 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-22,0,2026-W04,2026-01-19,2026-01-25
2026-01-23,6.9634,20:00_or_rightmost_visible, 2026-01-23 | 6.9634 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-23,0,2026-W04,2026-01-19,2026-01-25
2026-01-26,6.9542,20:00_or_rightmost_visible, 2026-01-26 | 6.9542 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-26,0,2026-W05,2026-01-26,2026-02-01
2026-01-27,6.9549,20:00_or_rightmost_visible, 2026-01-27 | 6.9549 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-27,0,2026-W05,2026-01-26,2026-02-01
2026-01-28,6.946,20:00_or_rightmost_visible, 2026-01-28 | 6.9460 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-28,0,2026-W05,2026-01-26,2026-02-01
2026-01-29,6.9465,20:00_or_rightmost_visible, 2026-01-29 | 6.9465 | readable from rightmost visible column; header not visible ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-29,0,2026-W05,2026-01-26,2026-02-01
2026-01-30,6.9494,20:00_or_rightmost_visible, 2026-01-30 | 6.9494 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-30,0,2026-W05,2026-01-26,2026-02-01
2026-02-02,6.9438,20:00_or_rightmost_visible, 2026-02-02 | 6.9438 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-02,0,2026-W06,2026-02-02,2026-02-08
2026-02-03,6.9379,20:00_or_rightmost_visible, 2026-02-03 | 6.9379 | readable ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-03,0,2026-W06,2026-02-02,2026-02-08
2026-02-04,6.9422,20:00_or_rightmost_visible, 2026-02-04 | 6.9422 | readable ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-04,0,2026-W06,2026-02-02,2026-02-08
2026-02-05,6.941,20:00_or_rightmost_visible, 2026-02-05 | 6.9410 | readable ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-05,0,2026-W06,2026-02-02,2026-02-08
