date,usd_cny_rate,selected_time_col,readable_status,ocr_review_file,header_visible_in_slice,source_image,source_platform,source_method,data_quality_level,record_status,date_dt,header_rank,week_id,natural_week_start,natural_week_end
2026-01-16,6.9694,20:00_or_rightmost_visible, 2026-01-16 | 6.9694 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-16,0,2026-W03,2026-01-12,2026-01-18
2026-01-23,6.9634,20:00_or_rightmost_visible, 2026-01-23 | 6.9634 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-23,0,2026-W04,2026-01-19,2026-01-25
2026-01-30,6.9494,20:00_or_rightmost_visible, 2026-01-30 | 6.9494 | readable from rightmost visible column; header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-07-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-01-30,0,2026-W05,2026-01-26,2026-02-01
2026-02-06,6.9385,20:00_or_rightmost_visible, 2026-02-06 | 6.9385 | readable; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-06,0,2026-W06,2026-02-02,2026-02-08
2026-02-13,6.9083,20:00_or_rightmost_visible, 2026-02-13 | 6.9083 | readable; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-13,0,2026-W07,2026-02-09,2026-02-15
2026-02-27,6.8596,20:00_or_rightmost_visible, 2026-02-27 | 6.8596 | readable; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-06-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-02-27,0,2026-W09,2026-02-23,2026-03-01
2026-03-06,6.9073,20:00_or_rightmost_visible, 2026-03-06 | 6.9073 | readable; WEEK_LAST_VISIBLE ,fx-screenshot-small-slices/fx-slice-05-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-03-06,0,2026-W10,2026-03-02,2026-03-08
2026-03-13,6.8943,20:00_or_rightmost_visible, 2026-03-13 | 6.8943 | readable; WEEK_LAST_VISIBLE ,fx-screenshot-small-slices/fx-slice-05-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-03-13,0,2026-W11,2026-03-09,2026-03-15
2026-03-20,6.8898,20:00_or_rightmost_visible, 2026-03-20 | 6.8898 | readable; WEEK_LAST_VISIBLE ,fx-screenshot-small-slices/fx-slice-05-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-03-20,0,2026-W12,2026-03-16,2026-03-22
2026-03-27,6.9125,20:00_or_rightmost_visible, 2026-03-27 ★ | 6.9125 | value readable; column header not visible; weekly last visible trading day ,fx-screenshot-small-slices/fx-slice-04-review.md,False,output/半年汇率表.png,中国外汇交易中心历史参考汇率截图,long_screenshot_ocr,B_screenshot_ocr_header_inferred,ocr_extracted_from_user_screenshot_needs_spot_check,2026-03-27,0,2026-W13,2026-03-23,2026-03-29
