date,currency_pair,rate,source_type,source_url,note,data_quality_level,is_estimated
2025-11-28,USD/CNY,7.126,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2025-12-05,USD/CNY,7.1225,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2025-12-12,USD/CNY,7.125,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2025-12-19,USD/CNY,7.1275,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2025-12-26,USD/CNY,7.13,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-01-02,USD/CNY,7.1505,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-01-09,USD/CNY,7.135,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-01-16,USD/CNY,7.1255,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-01-23,USD/CNY,7.14,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-01-30,USD/CNY,7.1425,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-02-06,USD/CNY,7.163,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-02-13,USD/CNY,7.1475,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-02-20,USD/CNY,7.15,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-02-27,USD/CNY,7.1525,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-03-06,USD/CNY,7.143,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-03-13,USD/CNY,7.1755,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-03-20,USD/CNY,7.16,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-03-27,USD/CNY,7.1625,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-04-03,USD/CNY,7.165,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-04-10,USD/CNY,7.1675,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-04-17,USD/CNY,7.188,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-04-24,USD/CNY,7.1605,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-05-01,USD/CNY,7.175,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-05-08,USD/CNY,7.1775,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-05-15,USD/CNY,7.18,mvp_simulated_pending_official_replace,待替换为中国外汇交易中心或东方财富历史行情,MVP跑通用模拟序列，不得用于正式结论,,
2026-05-22,USD/CNY,6.8373,official_SAFE,国家外汇管理局公开汇率中间价：100美元=683.73元人民币,官方公开中间价；仅单日记录，尚未形成26周序列,A,False
