date,ccfi_composite,japan_index,europe_index,mediterranean_index,us_west_index,us_east_index,source,source_url,data_quality_level,note,record_status,missing_reason,demo_ccfi_composite,demo_data_quality_level,demo_record_status,demo_notes
2025-11-28,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1146.67,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2025-12-05,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1146.67,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2025-12-12,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1146.67,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2025-12-19,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1146.67,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2025-12-26,1146.67,,,,,,batch03_04_public_excerpt,source_urls_to_be_confirmed_from_search_cache,B,由batch-03/04公开摘录补入,collected_public_excerpt,分航线值未补齐,1146.67,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-01-02,,,,,,,official_publication_calendar,official_calendar_url_to_be_filled,A_publication_suspended,官方发布日程未列该周发布，视作非缺失停刊周,official_publication_suspended,元旦假期/发布日程停刊，无数值,1152.454,A_publication_suspended,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-01-09,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1158.238,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-01-16,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1164.022,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-01-23,,,,,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=ccfi,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,官方单期页/历史查询未能可靠返回该周可核验数值；保留占位，待逐周补采或人工截图,1169.806,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失综合指数线性插值，仅用于流程展示。
2026-01-30,1175.59,,,,,,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B41%E6%9C%8830%E6%97%A5%22+CCFI+1175.59,B,由batch-03/04公开摘录补入,collected_public_excerpt,分航线值未补齐,1175.59,B,collected_or_suspended,演示补全版：缺失综合指数线性插值，仅用于流程展示。
