date,europe_settlement_index,us_west_settlement_index,source,source_url,data_quality_level,note,record_status,missing_reason,demo_europe_settlement_index,demo_us_west_settlement_index,demo_data_quality_level,demo_record_status,demo_notes
2025-11-28,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2025-12-05,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2025-12-12,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2025-12-19,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2025-12-26,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-01-02,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-01-09,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-01-16,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-01-23,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位,1859.31,1294.32,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
2026-01-26,1859.31,1294.32,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%22+%221%E6%9C%8826%E6%97%A5%22+SCFIS+1859.31+1294.32,B,由batch-03/04公开摘录补入,collected_public_excerpt,,1859.31,1294.32,B,collected,演示补全版：缺失SCFIS路线指数线性插值，仅用于流程展示。
