date,index_type,route_name,value,unit,source,data_quality_level,record_status,missing_reason
2025-11-28,SCFI,SCFI综合指数,1403.13,points,batch03_04_public_excerpt,B,collected_public_excerpt,原始URL/截图仍待补强
2025-11-28,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-11-28,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-11-28,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-11-28,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-05,SCFI,SCFI综合指数,1397.63,points,batch03_04_public_excerpt,B,collected_public_excerpt,原始URL/截图仍待补强
2025-12-05,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-05,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-05,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-05,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-12,SCFI,SCFI综合指数,,point,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-12,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-12,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-12,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-12,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-19,SCFI,SCFI综合指数,1552.92,points,batch03_04_public_excerpt,B,collected_public_excerpt,原始URL/截图仍待补强
2025-12-19,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-19,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-19,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-19,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-26,SCFI,SCFI综合指数,1656.32,points,batch03_04_public_excerpt,B,collected_public_excerpt,原始URL/截图仍待补强
2025-12-26,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-26,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-26,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2025-12-26,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-02,SCFI,SCFI综合指数,,point,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-02,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-02,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-02,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-02,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-09,SCFI,SCFI综合指数,,point,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-09,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-09,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-09,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-09,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-16,SCFI,SCFI综合指数,,point,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-16,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-16,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-16,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-16,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-23,SCFI,SCFI综合指数,,point,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-23,SCFI,欧洲航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-23,SCFI,地中海航线,,USD/TEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-23,SCFI,美西航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
2026-01-23,SCFI,美东航线,,USD/FEU,placeholder,PENDING,placeholder_pending,该周该指标未搜到可核验证据，保留占位
