record_id,index_type,route_or_dimension,data_date,natural_week_start,displayed_value,value_unit,data_quality_level,record_status,confidence_note,usable_for_real_master
chart-ccfi-2026-05-22-composite,CCFI,综合指数,2026-05-22,2026-05-18,1317.36,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no
chart-scfis-2026-05-25-europe,SCFIS,欧洲航线,2026-05-25,2026-05-25,1863.74,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no
chart-scfis-2026-05-25-us-west,SCFIS,美西航线,2026-05-25,2026-05-25,1960.27,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,截图tooltip清晰可读，日期和值可直接读取；但来源依赖截图，未完成网页复现和官方表格校验，因此按C级参考留存。；本轮已通过上海航运交易所 indexImg 接口复现同款PNG图表。,no
chart-ccfi-2025-12-26-综合指数,CCFI,综合指数,2025-12-26,2025-12-22,1146.67,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-01-09-综合指数,CCFI,综合指数,2026-01-09,2026-01-05,1194.89,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-01-16-综合指数,CCFI,综合指数,2026-01-16,2026-01-12,1209.85,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-01-23-综合指数,CCFI,综合指数,2026-01-23,2026-01-19,1208.75,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-01-30-综合指数,CCFI,综合指数,2026-01-30,2026-01-26,1175.59,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-02-06-综合指数,CCFI,综合指数,2026-02-06,2026-02-02,1122.15,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-02-13-综合指数,CCFI,综合指数,2026-02-13,2026-02-09,1088.14,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-03-06-综合指数,CCFI,综合指数,2026-03-06,2026-03-02,1054.26,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-03-13-综合指数,CCFI,综合指数,2026-03-13,2026-03-09,1072.16,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-03-20-综合指数,CCFI,综合指数,2026-03-20,2026-03-16,1120.61,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-03-27-综合指数,CCFI,综合指数,2026-03-27,2026-03-23,1139.04,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-04-03-综合指数,CCFI,综合指数,2026-04-03,2026-03-30,1184.7,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-04-10-综合指数,CCFI,综合指数,2026-04-10,2026-04-06,1209.84,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-04-17-综合指数,CCFI,综合指数,2026-04-17,2026-04-13,1211.08,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-04-24-综合指数,CCFI,综合指数,2026-04-24,2026-04-20,1233.76,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-04-30-综合指数,CCFI,综合指数,2026-04-30,2026-04-27,1269.64,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-05-08-综合指数,CCFI,综合指数,2026-05-08,2026-05-04,1278.79,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-05-15-综合指数,CCFI,综合指数,2026-05-15,2026-05-11,1280.46,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-ccfi-2026-05-22-综合指数,CCFI,综合指数,2026-05-22,2026-05-18,1317.36,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2025-12-29-欧洲航线,SCFIS,欧洲航线,2025-12-29,2025-12-29,1742.64,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-05-欧洲航线,SCFIS,欧洲航线,2026-01-05,2026-01-05,1795.83,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-12-欧洲航线,SCFIS,欧洲航线,2026-01-12,2026-01-12,1956.39,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-19-欧洲航线,SCFIS,欧洲航线,2026-01-19,2026-01-19,1954.19,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-01-26-欧洲航线,SCFIS,欧洲航线,2026-01-26,2026-01-26,1859.31,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-02-欧洲航线,SCFIS,欧洲航线,2026-02-02,2026-02-02,1792.14,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-09-欧洲航线,SCFIS,欧洲航线,2026-02-09,2026-02-09,1657.94,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-16-欧洲航线,SCFIS,欧洲航线,2026-02-16,2026-02-16,1607.27,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-02-23-欧洲航线,SCFIS,欧洲航线,2026-02-23,2026-02-23,1573.51,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-02-欧洲航线,SCFIS,欧洲航线,2026-03-02,2026-03-02,1463.4,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
chart-scfis-2026-03-09-欧洲航线,SCFIS,欧洲航线,2026-03-09,2026-03-09,1545.46,index_point,C_chart_reference,chart_tooltip_value_endpoint_image_reproducible_not_master_verified,上海航运交易所indexImg接口返回PNG图表，tooltip日期和值可读；按C级图表参考层留存，不覆盖A/B真实主表。,no
