date,natural_week_start,natural_week_end,rate,fx_source_layer,source_type,fx_source_note,fx_rate_observed,fx_rate_demo,fx_is_demo_filled
2025-11-28,2025-11-24,2025-11-30,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2025-12-05,2025-12-01,2025-12-07,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2025-12-12,2025-12-08,2025-12-14,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2025-12-19,2025-12-15,2025-12-21,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2025-12-26,2025-12-22,2025-12-28,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2026-01-02,2025-12-29,2026-01-04,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2026-01-09,2026-01-05,2026-01-11,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.9694,True
2026-01-16,2026-01-12,2026-01-18,6.9694,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9694,6.9694,False
2026-01-23,2026-01-19,2026-01-25,6.9634,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9634,6.9634,False
2026-01-30,2026-01-26,2026-02-01,6.9494,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9494,6.9494,False
2026-02-06,2026-02-02,2026-02-08,6.9385,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9385,6.9385,False
2026-02-13,2026-02-09,2026-02-15,6.9083,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9083,6.9083,False
2026-02-20,2026-02-16,2026-02-22,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.8839500000000005,True
2026-02-27,2026-02-23,2026-03-01,6.8596,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8596,6.8596,False
2026-03-06,2026-03-02,2026-03-08,6.9073,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9073,6.9073,False
2026-03-13,2026-03-09,2026-03-15,6.8943,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8943,6.8943,False
2026-03-20,2026-03-16,2026-03-22,6.8898,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8898,6.8898,False
2026-03-27,2026-03-23,2026-03-29,6.9125,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.9125,6.9125,False
2026-04-03,2026-03-30,2026-04-05,6.8806,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8806,6.8806,False
2026-04-10,2026-04-06,2026-04-12,6.8283,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8283,6.8283,False
2026-04-17,2026-04-13,2026-04-19,6.8224,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8224,6.8224,False
2026-04-24,2026-04-20,2026-04-26,6.833,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.833,6.833,False
2026-05-01,2026-04-27,2026-05-03,6.8288,B_screenshot_ocr_header_inferred,long_screenshot_ocr,screenshot_ocr_fill_when_aligned_missing,6.8288,6.8288,False
2026-05-08,2026-05-04,2026-05-10,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.8316333333333334,True
2026-05-15,2026-05-11,2026-05-17,,demo_interpolation_fill,,linear_interpolation_or_boundary_nearest_for_demo,,6.834466666666667,True
2026-05-22,2026-05-18,2026-05-24,6.8373,A,official_SAFE,weekly_aligned_table_priority,6.8373,6.8373,False
