date,natural_week_start,natural_week_end,route_name,observed_value,value_used_for_demo,unit,source_value_layer,demo_fill_method,is_demo_filled,data_quality_level,record_status,source_type
2025-11-28,2025-11-24,2025-11-30,SCFI综合指数,1403.13,1403.13,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2025-12-05,2025-12-01,2025-12-07,SCFI综合指数,1397.63,1397.63,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2025-12-12,2025-12-08,2025-12-14,SCFI综合指数,,1475.275,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2025-12-19,2025-12-15,2025-12-21,SCFI综合指数,1552.92,1552.92,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2025-12-26,2025-12-22,2025-12-28,SCFI综合指数,1656.32,1656.32,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2026-01-02,2025-12-29,2026-01-04,SCFI综合指数,,1588.406,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,A_publication_suspended,official_publication_suspended,official_publication_calendar
2026-01-09,2026-01-05,2026-01-11,SCFI综合指数,,1520.492,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-01-16,2026-01-12,2026-01-18,SCFI综合指数,,1452.578,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-01-23,2026-01-19,2026-01-25,SCFI综合指数,,1384.664,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,B,collected_public_excerpt,batch03_04_public_excerpt
2026-01-30,2026-01-26,2026-02-01,SCFI综合指数,1316.75,1316.75,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2026-02-06,2026-02-02,2026-02-08,SCFI综合指数,1266.56,1266.56,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2026-02-13,2026-02-09,2026-02-15,SCFI综合指数,1251.46,1251.46,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B,collected_public_excerpt,batch03_04_public_excerpt
2026-02-20,2026-02-16,2026-02-22,SCFI综合指数,,1366.1825,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-02-27,2026-02-23,2026-03-01,SCFI综合指数,,1480.905,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-03-06,2026-03-02,2026-03-08,SCFI综合指数,,1595.6275,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-03-13,2026-03-09,2026-03-15,SCFI综合指数,1710.35,1710.35,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B_pending_source_recheck,legacy_value_pending_source_recheck,legacy_public_clue_needs_source_recheck
2026-03-20,2026-03-16,2026-03-22,SCFI综合指数,1706.95,1706.95,points,A/B_public_observed_or_pending_recheck,observed_value_kept,False,B_pending_source_recheck,legacy_value_pending_source_recheck,legacy_public_clue_needs_source_recheck
2026-03-27,2026-03-23,2026-03-29,SCFI综合指数,,1768.2233333333334,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
2026-04-03,2026-03-30,2026-04-05,SCFI综合指数,,1829.4966666666667,points,demo_interpolation_fill,linear_interpolation_or_boundary_nearest,True,PENDING,placeholder_pending,placeholder
