layer,item,covered,total,coverage_pct,coverage_basis
A/B真实公开层,SCFI,17,26,65.38,行级至少一个有效值且质量A/B
A/B真实公开层,CCFI,8,26,30.77,行级至少一个有效值且质量A/B
A/B真实公开层,SCFIS,6,32,18.75,行级至少一个有效值且质量A/B
A/B真实公开层,USD/CNY周汇率,1,26,3.85,26周计划行级A/B已核验代表汇率
A/B真实公开层,船公司公告关键字段,19,20,95.0,关键字段单元格
C图表参考层,CCFI图表C级参考,19,26,73.08,唯一tooltip日期/26周目标
C图表参考层,SCFIS欧洲图表C级参考,22,26,84.62,唯一tooltip日期/26周目标
C图表参考层,SCFIS美西图表C级参考,22,26,84.62,唯一tooltip日期/26周目标
A/B真实公开层,整体,51,130,39.23,各项加权汇总
A/B/C参考合并层,整体,114,208,54.81,A/B真实公开层 + C图表参考层加权汇总，不等同正式真实覆盖
