date,europe_settlement_index,us_west_settlement_index,source,source_url,data_quality_level,note,record_status,missing_reason
2025-11-28,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2025-12-05,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2025-12-12,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2025-12-19,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2025-12-26,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-01-02,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-01-09,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-01-16,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-01-23,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-01-30,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-02-06,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-02-13,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-02-20,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-02-27,,,placeholder,,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-03-06,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-03-13,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-03-20,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-03-27,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-04-03,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-04-10,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-04-17,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-04-24,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-05-01,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-05-04,1615.21,1697.48,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,
2026-05-08,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-05-11,1692.87,1837.3,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,
2026-05-15,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-05-18,1709.43,1823.54,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A-/B+(europe)/C(us_west_conflict),官方轨迹页公开值；需人工复核页面展示,partial_collected_conflict_pending,美西存在1823.54/1834.54冲突，待官方截图确认
2026-05-22,,,placeholder,https://www.sse.net.cn/index/singleIndex?indexType=scfis,PENDING,占位行，不得作为真实数据参与分析,placeholder_pending,SCFIS为周一发布/轨迹页数据，当前日期未搜到可核验值；保留占位
2026-05-25,1863.74,1960.27,上海航运交易所SCFIS轨迹页/公开检索摘要,https://www.sse.net.cn/index/scfisTrace,A,官方轨迹页公开值；需人工复核页面展示,partial_or_complete_collected,
2026-01-26,1859.31,1294.32,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%22+%221%E6%9C%8826%E6%97%A5%22+SCFIS+1859.31+1294.32,B,由batch-03/04公开摘录补入,collected_public_excerpt,
2026-02-09,1657.94,1155.66,batch03_04_public_excerpt,https://www.google.com/search?q=%222026%E5%B9%B42%E6%9C%889%E6%97%A5%22+SCFIS+1657.94+1155.66,B,由batch-03/04公开摘录补入,collected_public_excerpt,
